Unnamed: 0,image,dataset
36987,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_12_45171573_C19CF6AA_F30105AA_15290_3.npy,train
5482,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_12_09E5569E_09D73F1E_84C5E8DF_16161_1.npy,train
13915,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_15_9CB4C517_9CA6AD97_960BD966_19926_2.npy,train
436,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow3/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_16_57F9D61B_097C97FF_9E70A8D2_23244_3.npy,val
1689,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow3/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_5_BC2EE083_F1D905FF_9F979EF6_8002_2.npy,train
34487,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_17_C41C9A68_C40E82E8_4CEC956B_24236_2.npy,train
39996,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_0_7EEAAEC3_7EDC9743_F9A8D8AD_31744_2.npy,train
20795,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_13_AF330F02_F964A843_43964D9A_1698_4.npy,train
14522,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_13_6E6B8C5B_B89D259C_02CEBEDD_16615_1.npy,train
6269,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow3/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_17_DB8B628B_0512C46E_6DFC9352_24393_3.npy,train
22136,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_11_684DE0FA_BBE31798_7795C6D3_14823_4.npy,train
2039,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_11_811EE514_CB507E55_15821796_1468_4.npy,val
17875,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_4_A3716109_A3634989_C8290C21_3817_3.npy,train
1777,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_10_E8FFA5E4_E8F18E64_309787DF_12716_2.npy,train
12153,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_16_350873F9_7F3A0D3A_C96BA9DF_7283_2.npy,train
3036,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_22_86FAB365_D12C4CA6_1B5E3BC2_29247_3.npy,train
4429,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow3/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_1_B4E0412A_544FDA03_109D73D8_32610_2.npy,train
2753,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_23_269A3706_70CBD047_BAFD71C9_30167_2.npy,train
3020,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_16_8DC1EB70_8DB3D3F0_A9CFAC6D_23306_2.npy,val
8131,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_14_E6FF94BC_31312DFD_7B62C816_21349_3.npy,train
27119,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_1_0DD9F66E_CE1E5767_8ADF7AA4_33491_3.npy,train
7090,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_15_7FFDD654_7FEFBED4_D63EC6D7_22443_3.npy,train
24617,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_13_8768F6A9_875ADF29_7EFA58FE_21092_4.npy,train
4622,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_7_C017CF7C_C009B7FC_76C258B7_10255_4.npy,val
36936,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_2_E27C0B94_D1A01828_347BD97E_35611_2.npy,train
6986,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_18_68A50334_6896EBB4_1C5A2E20_2516_2.npy,train
2844,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_23_30D990DB_7B0B2A1C_C53CCEFE_30845_2.npy,train
35072,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_13_ADD3957B_ADC57DFB_030956D5_17105_2.npy,train
2310,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_23_3992EADD_83C4841E_CDF62826_30369_2.npy,train
5909,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow3/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_13_F961277B_7866D96F_397E9F20_17206_2.npy,train
12283,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_20_BA0ADBBB_27E83E1F_8B761580_27181_2.npy,train
2401,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_19_24203AE3_6E51D424_B88374AA_2599_2.npy,train
12847,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_20_4CA1473A_96D2E07B_E10479C0_27655_3.npy,train
1325,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_11_F786BECC_41B8580D_8BE9F4EC_14538_3.npy,train
19476,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_7_D4DB11B8_D4CCFA38_27D4837E_10112_4.npy,train
20492,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_21_67AFAD49_B1E1468A_FC12DFCB_28182_4.npy,train
2541,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_11_16D45C2F_16C644AF_3742A61B_14901_1.npy,val
5324,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_13_1E3828B6_6F04C655_BE75A083_20827_2.npy,val
6916,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow3/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_4_A3A86E1E_987E4F7E_5F7EAF09_39528_2.npy,train
9915,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_15_F034BE09_E10826C6_E49FA2FF_19236_3.npy,train
14092,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_13_4A7CA0B7_725D768E_988D2D3B_20229_1.npy,train
26260,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_15_7F308E5F_7F2276DF_BA20C53C_19557_1.npy,train
259,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow3/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_13_B0BD5B57_C4E3C047_C1146D0A_17019_1.npy,train
2636,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_1_267153A6_26633C26_ABD2713A_32508_4.npy,val
2130,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_9_F69D92BF_870F6B21_B3BE3DC4_12033_2.npy,train
351,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_16_F952451F_4383DE60_8DB577A1_6787_2.npy,train
23007,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_17_4C1D2392_8F51F197_460DDB37_2454_3.npy,train
21282,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_2_DF53AA75_298543B6_73B7330E_3438_3.npy,train
9842,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_newset_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_9_289999B4_72CB32F5_BCFCD39A_11866_2.npy,train
2623,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_0_44430F99_8FA77F53_D9D96B2A_31163_3.npy,train
12635,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_20_315B8446_7B8D1D87_C5BEB6C8_27090_1.npy,train
558,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow3/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_1_2555315A_EC867A7B_13C2C984_33160_2.npy,val
11822,/scratch/alpine/cclark@xsede.org/data/dmist/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_4_263A9DE0_4E3B9F49_C65F28F7_38944_2.npy,train
